what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.core.tests,5.1.0.201006141710,"org.eclipse.cdt.core.tests",1284534512375
started,bundle,org.eclipse.cdt.scripting,1.0.0.201006141710,"org.eclipse.cdt.scripting",1284534512375
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201006141710,"org.eclipse.cdt.ui.tests",1284534512454
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1284534512469
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1284534512469
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1284534512469
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1284534512469
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284534512469
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1284534512469
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,"org.tigris.subversion.subclipse.core",1284534512469
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1284534512469
os,sysinfo,,,"win32",1284534512485
arch,sysinfo,,,"x86",1284534512485
ws,sysinfo,,,"win32",1284534512485
locale,sysinfo,,,"zh_CN",1284534512485
processors,sysinfo,,,"4",1284534512485
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284534512485
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1284534512485
java.specification.name,sysinfo,,,"Java Platform API Specification",1284534512485
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284534512485
java.specification.version,sysinfo,,,"1.6",1284534512485
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284534512485
java.version,sysinfo,,,"1.6.0_21",1284534512485
java.vm.info,sysinfo,,,"mixed mode",1284534512485
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284534512485
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284534512485
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284534512485
java.vm.specification.version,sysinfo,,,"1.0",1284534512485
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284534512485
java.vm.version,sysinfo,,,"17.0-b17",1284534512485
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1284534513844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284534514704
